URL,URL Status Code,Hreflang,Href,Backref URL Status Code,Backref Information
https://iprice.au/coupons/weekly-exclusives/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/fashion/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/travel/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/beauty-and-health/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/electronics/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/food-delivery-e-hailing/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/adidas/,200,en-hk,https://iprice.hk/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,id-id,https://iprice.co.id/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,en-my,https://iprice.my/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,en-ph,https://iprice.ph/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,en-sg,https://iprice.sg/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,th-th,https://ipricethailand.com/adidas/,200,Invalid Backref URL
https://iprice.au/coupons/adidas/,200,en-au,https://iprice.au/adidas/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/adore-beauty/,200,en-au,https://iprice.au/adore-beauty/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/aliexpress/,200,en-my,https://iprice.my/aliexpress/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/aliexpress/,200,en-sg,https://iprice.sg/aliexpress/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/aliexpress/,200,en-au,https://iprice.au/aliexpress/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/amazon/,200,en-hk,https://iprice.hk/amazon/,200,Invalid Backref URL
https://iprice.au/coupons/amazon/,200,en-ph,https://iprice.ph/amazon/,200,Invalid Backref URL
https://iprice.au/coupons/amazon/,200,en-sg,https://iprice.sg/amazon/,200,Invalid Backref URL
https://iprice.au/coupons/amazon/,200,en-au,https://iprice.au/amazon/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/anaconda/,200,en-au,https://iprice.au/anaconda/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/apple/,200,en-sg,https://iprice.sg/apple/,200,Invalid Backref URL
https://iprice.au/coupons/apple/,200,en-au,https://iprice.au/apple/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/asos/,200,en-hk,https://iprice.hk/asos/,200,Invalid Backref URL
https://iprice.au/coupons/asos/,200,en-sg,https://iprice.sg/asos/,200,Invalid Backref URL
https://iprice.au/coupons/asos/,200,en-au,https://iprice.au/asos/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/big-w/,200,en-au,https://iprice.au/big-w/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/boohoo/,200,en-au,https://iprice.au/boohoo/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,en-hk,https://iprice.hk/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,id-id,https://iprice.co.id/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,en-my,https://iprice.my/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,en-ph,https://iprice.ph/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,en-sg,https://iprice.sg/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,th-th,https://ipricethailand.com/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,vi-vn,https://iprice.vn/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/bookingcom/,200,en-au,https://iprice.au/bookingcom/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/catch/,200,id-id,https://iprice.co.id/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,en-my,https://iprice.my/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,en-ph,https://iprice.ph/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,en-sg,https://iprice.sg/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,th-th,https://ipricethailand.com/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,vi-vn,https://iprice.vn/lazada/,200,Invalid Backref URL
https://iprice.au/coupons/catch/,200,en-au,https://iprice.au/catch/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/chemist-warehouse/,200,en-au,https://iprice.au/chemist-warehouse/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/city-beach/,200,en-au,https://iprice.au/city-beach/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/coles/,200,en-my,https://iprice.my/watsons-malaysia/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/coles/,200,en-sg,https://iprice.sg/fairprice/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/coles/,200,en-au,https://iprice.au/coles/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/cotton-on/,200,en-hk,https://iprice.hk/zalora/,200,Invalid Backref URL
https://iprice.au/coupons/cotton-on/,200,id-id,https://iprice.co.id/zalora/,200,Invalid Backref URL
https://iprice.au/coupons/cotton-on/,200,en-my,https://iprice.my/zalora/,200,Invalid Backref URL
https://iprice.au/coupons/cotton-on/,200,en-ph,https://iprice.ph/zalora/,200,Invalid Backref URL
https://iprice.au/coupons/cotton-on/,200,en-sg,https://iprice.sg/zalora/,200,Invalid Backref URL
https://iprice.au/coupons/cotton-on/,200,en-au,https://iprice.au/cotton-on/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/crocs/,200,No Hreflang Found,No Href Found,N/A,No Hreflang and Href Found
https://iprice.au/coupons/culture-kings/,200,en-au,https://iprice.au/culture-kings/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/david-jones/,200,en-au,https://iprice.au/david-jones/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/didi/,200,id-id,https://iprice.co.id/grab/,200,Invalid Backref URL
https://iprice.au/coupons/didi/,200,en-my,https://iprice.my/grab/,200,Invalid Backref URL
https://iprice.au/coupons/didi/,200,en-ph,https://iprice.ph/grab/,200,Invalid Backref URL
https://iprice.au/coupons/didi/,200,en-sg,https://iprice.sg/grab/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/didi/,200,th-th,https://ipricethailand.com/grab/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/didi/,200,vi-vn,https://iprice.vn/grab/,200,Invalid Backref URL
https://iprice.au/coupons/didi/,200,en-au,https://iprice.au/didi/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dissh/,200,en-au,https://iprice.au/dissh/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dominos/,200,id-id,https://iprice.co.id/dominos-pizza/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dominos/,200,en-my,https://iprice.my/dominos/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dominos/,200,en-sg,https://iprice.sg/dominos-pizza/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dominos/,200,th-th,https://ipricethailand.com/dominos-pizza/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dominos/,200,en-au,https://iprice.au/dominos/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/doordash/,200,en-hk,https://iprice.hk/foodpanda/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/doordash/,200,en-my,https://iprice.my/foodpanda/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/doordash/,200,en-ph,https://iprice.ph/foodpanda/,200,Invalid Backref URL
https://iprice.au/coupons/doordash/,200,en-sg,https://iprice.sg/foodpanda/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/doordash/,200,th-th,https://ipricethailand.com/foodpanda/,200,Invalid Backref URL
https://iprice.au/coupons/doordash/,200,en-au,https://iprice.au/doordash/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/dyson/,200,en-sg,https://iprice.sg/dyson/,200,Invalid Backref URL
https://iprice.au/coupons/dyson/,200,en-au,https://iprice.au/dyson/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/ebay/,200,en-au,https://iprice.au/ebay/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/etsy/,200,en-ph,https://iprice.ph/photobook/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/etsy/,200,en-au,https://iprice.au/etsy/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/expedia/,200,en-my,https://iprice.my/expedia/,404,Invalid Backref URL Status Code
https://iprice.au/coupons/expedia/,200,en-ph,https://iprice.ph/expedia/,404,Invalid Backref URL Status Code
